date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:00:38	116/116	---M--	200	added ('OK')	text/plain	date:Tue,%2007%20Jan%202020%2004:00:38%20GMT	http://www.xaviercochet.fr/robots.txt		(from )
05:00:41	76577/76577	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:00:38%20GMT	http://www.xaviercochet.fr/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/index.html	(from )
05:00:41	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2007%20Jan%202020%2004:00:41%20GMT	http://www.xaviercochet.fr/xmlrpc.php	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/xmlrpc.php	(from http://www.xaviercochet.fr/)
05:00:41	771/771	---M--	200	added ('OK')	text/css	etag:%225c0e068-303-52c07609f5040%22	http://www.xaviercochet.fr/wp-content/plugins/yet-another-related-posts-plugin/style/widget.css?ver=4.4.2	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/wp-content/plugins/yet-another-related-posts-plugin/style/widgetc1f9.css	(from http://www.xaviercochet.fr/)
05:00:41	1099/1099	---M--	200	added ('OK')	text/css	etag:%225c0dc8e-44b-5303249d8db40%22	http://www.xaviercochet.fr/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.4.1	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/wp-content/plugins/contact-form-7/includes/css/stylesa94e.css	(from http://www.xaviercochet.fr/)
05:00:42	1548/1548	---M--	200	added ('OK')	text/css	etag:%22189eeac77-60c-51feda3b7df80%22	http://www.xaviercochet.fr/wp-content/plugins/page-list/css/page-list.css?ver=5.1	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/wp-content/plugins/page-list/css/page-listc721.css	(from http://www.xaviercochet.fr/)
05:00:42	374/374	---M--	200	added ('OK')	text/css	etag:%22189eea950-176-52c075f21d800%22	http://www.xaviercochet.fr/wp-content/plugins/wp-pagenavi/pagenavi-css.css?ver=2.70	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/wp-content/plugins/wp-pagenavi/pagenavi-css44fd.css	(from http://www.xaviercochet.fr/)
05:00:42	41479/41479	---M--	200	added ('OK')	text/css	etag:%228743e187-a207-4f819009cf5c0%22	http://www.xaviercochet.fr/wp-content/themes/reveiller-saint-mihiel/style.css	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/wp-content/themes/reveiller-saint-mihiel/style.css	(from http://www.xaviercochet.fr/)
05:00:42	12620/12620	---M--	200	added ('OK')	text/css	etag:%2210a037333-314c-5005a0a55b900%22	http://www.xaviercochet.fr/wp-content/themes/simple-catch-pro/css/responsive.css?ver=4.4.2	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/wp-content/themes/simple-catch-pro/css/responsivec1f9.css	(from http://www.xaviercochet.fr/)
05:00:43	3165/3165	---M--	200	added ('OK')	text/css	etag:%2210a03716f-c5d-52c075ea7c600%22	http://www.xaviercochet.fr/wp-content/plugins/popular-widget/_css/pop-widget.css?ver=1.7.0	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/wp-content/plugins/popular-widget/_css/pop-widget7d4c.css	(from http://www.xaviercochet.fr/)
